Bankleitzahl;Merkmal;Bezeichnung;PLZ;Ort;Kurzbezeichnung;PAN;BIC;PrÅfziffer-berechnungs-methode;Datensatz-nummer;énderungs-kennzeichen;Bankleitzahl-lîschung;Nachfolge-Bankleitzahl
50010700;2;Degussa Bank;10665;Berlin;Degussa Bank Berlin;29135;;B7;048276;U;0;00000000
50010700;2;Degussa Bank;33509;Bielefeld;Degussa Bank Bielefeld;29135;;B7;048277;U;0;00000000
50010700;2;Degussa Bank;53184;Bonn;Degussa Bank Bonn;29135;;B7;048279;U;0;00000000
50010700;2;Degussa Bank;04680;Colditz;Degussa Bank Colditz;29135;;B7;048281;U;0;00000000
50010700;2;Degussa Bank;01097;Dresden;Degussa Bank Dresden;29135;;B7;048282;U;0;00000000
50010700;2;Degussa Bank;40011;DÅsseldorf;Degussa Bank DÅsseldorf;29135;;B7;048283;U;0;00000000
50010700;2;Degussa Bank;63526;Erlensee;Degussa Bank Erlensee;29135;;B7;048284;U;0;00000000
50010700;2;Degussa Bank;33790;Halle (Westf.);Degussa Bank Halle Westf;29135;;B7;048285;U;0;00000000
50010700;2;Degussa Bank;20102;Hamburg;Degussa Bank Hamburg;29135;;B7;048286;U;0;00000000
50010700;2;Degussa Bank;63403;Hanau;Degussa Bank Hanau;29135;;B7;048287;U;0;00000000
50010700;2;Degussa Bank;50344;HÅrth;Degussa Bank HÅrth;29135;;B7;048289;U;0;00000000
50010700;2;Degussa Bank;50448;Kîln;Degussa Bank Kîln;29135;;B7;048290;U;0;00000000
50010700;2;Degussa Bank;55054;Mainz;Degussa Bank Mainz;29135;;B7;048291;U;0;00000000
50010700;2;Degussa Bank;80078;MÅnchen;Degussa Bank MÅnchen;29135;;B7;048292;U;0;00000000
50010700;2;Degussa Bank;75104;Pforzheim;Degussa Bank Pforzheim;29135;;B7;048293;U;0;00000000
50010700;2;Degussa Bank;01445;Radebeul;Degussa Bank Radebeul;29135;;B7;048294;U;0;00000000
50010700;2;Degussa Bank;79602;Rheinfelden (Baden);Degussa Bank Rheinfelden;29135;;B7;048295;U;0;00000000
